Gen	lnL	lnP	TL	Insertion	Deletion	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[1-5]	R[1-6]	R[1-7]	R[1-8]	R[1-9]	R[1-10]	R[1-11]	R[1-12]	R[1-13]	R[2-2]	R[2-3]	R[2-4]	R[2-5]	R[2-6]	R[2-7]	R[2-8]	R[2-9]	R[2-10]	R[2-11]	R[2-12]	R[2-13]	R[3-3]	R[3-4]	R[3-5]	R[3-6]	R[3-7]	R[3-8]	R[3-9]	R[3-10]	R[3-11]	R[3-12]	R[3-13]	R[4-4]	R[4-5]	R[4-6]	R[4-7]	R[4-8]	R[4-9]	R[4-10]	R[4-11]	R[4-12]	R[4-13]	R[5-5]	R[5-6]	R[5-7]	R[5-8]	R[5-9]	R[5-10]	R[5-11]	R[5-12]	R[5-13]	R[6-6]	R[6-7]	R[6-8]	R[6-9]	R[6-10]	R[6-11]	R[6-12]	R[6-13]	R[7-7]	R[7-8]	R[7-9]	R[7-10]	R[7-11]	R[7-12]	R[7-13]	R[8-9]	R[8-10]	R[8-11]	R[8-12]	R[8-13]	R[9-9]	R[9-10]	R[9-11]	R[9-12]	R[9-13]	R[10-10]	R[10-11]	R[10-12]	R[10-13]	R[11-12]	R[11-13]	R[12-12]	R[12-13]	R[13-13]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	F[83]	F[84]	
1	-47716.5	-629.675	2.04749	0.00532656	0.0086327	0.0195476	0.0167137	0.0018209	0.00028973	0.000949512	0.00905228	0.0131172	0.000799346	0.0136102	0.000151233	0.0159228	0.0115259	0.0127659	0.00327233	0.0145994	0.0183503	0.00135514	0.00723851	0.00507835	0.0023177	0.0377727	0.0129464	0.0210272	0.00643867	0.0131664	0.0285918	0.0342992	0.000720487	0.000635019	0.000341122	0.0192304	0.00723898	0.0205391	0.0079996	0.0217598	0.0253095	0.00328883	0.00334801	0.0339303	0.0113126	7.14683e-05	0.00836977	0.0020088	0.00364665	0.0162776	0.0520807	0.00478983	0.000379485	0.00150947	0.0140815	0.0086825	0.00243199	0.0326075	0.0055413	0.0045685	0.00986079	0.0052884	0.00597863	0.00130212	0.0107021	0.0240052	0.0274093	0.029476	0.0128601	0.0194601	0.00585159	0.00433567	0.00943286	0.0147374	0.00689413	0.0155143	0.00246307	0.0145496	0.0100117	0.00202664	0.00991063	0.00105984	0.0150805	0.0159829	0.00334326	0.0101608	0.00123667	0.012289	0.00863895	0.0037152	0.00166165	0.031829	0.00696864	0.010542	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	
100	-44484.6	-520.103	3.45944	0.00832115	0.0122811	0.0193598	0.0165532	0.000976761	0.000286947	0.001	0.00896534	0.0129912	0.00099994	0.00877527	0.000999732	0.0157699	0.0114152	0.00453992	0.0032409	0.0144592	0.0181741	0.00134213	0.00716899	0.0161667	0.00229544	0.0374099	0.0128221	0.0208253	0.00637682	0.0130399	0.0283171	0.0339698	0.000713567	0.00062892	0.000337846	0.0190457	0.00716945	0.0203418	0.00792277	0.0215508	0.0250664	0.00325724	0.00331586	0.0256469	0.011204	7.07819e-05	0.00828938	0.00198951	0.00361162	0.0161212	0.0515804	0.00474383	0.00037584	0.00149497	0.0139463	0.0085991	0.00240863	0.0322943	0.00548808	0.00452462	0.00976608	0.0052376	0.0059212	0.00128962	0.0105993	0.0237746	0.027146	0.0291929	0.0127365	0.0192732	0.00579539	0.00429403	0.00934226	0.0145959	0.00682791	0.0153653	0.00243941	0.0144098	0.00991554	0.00200717	0.00981544	0.00104966	0.0293041	0.0158294	0.00331115	0.0100632	0.00122479	0.012171	0.00855597	0.00367951	0.00164569	0.0315233	0.00498064	0.0169351	0.011863	0.011863	0.015624	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.0156083	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.00296323	0.011863	0.011863	0.011863	0.011863	0.00489763	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	0.011863	
200	-43079	-548.908	6.37886	0.00832115	0.0122811	0.0189534	0.0162057	0.000956254	0.000280923	0.000979006	0.00877712	0.0127185	0.000978947	0.00698517	0.000978744	0.0154388	0.0111756	0.00444461	0.00317286	0.00556379	0.0316632	0.00131395	0.00701848	0.0158273	0.00224725	0.0366245	0.0125529	0.0203881	0.00624295	0.0127662	0.0277226	0.0332566	0.000698586	0.000615716	0.000330753	0.0186458	0.00701893	0.0199147	0.00302931	0.0210983	0.0158673	0.00318886	0.00324624	0.012411	0.0109688	6.92959e-05	0.00811535	0.00194774	0.0035358	0.0157828	0.0504976	0.00464423	0.00036795	0.00146359	0.0136535	0.00841857	0.00235807	0.0316163	0.00537286	0.00442963	0.00956105	0.000987074	0.001	0.00126254	0.0103768	0.0232755	0.0265761	0.02858	0.0124692	0.0188686	0.00567372	0.00420388	0.00914613	0.0142894	0.00668457	0.0151533	0.0023882	0.0141073	0.00970737	0.00196504	0.0315448	0.00102763	0.0286888	0.0154971	0.00324163	0.00985195	0.00119908	0.0119155	0.00837635	0.00360227	0.00161114	0.0308615	0.00487607	0.0468897	0.0125381	0.0114191	0.0165131	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0165754	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.00101042	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0040864	0.0125381	0.00313186	0.0125381	0.0116884	0.0112028	0.0125381	0.00517633	0.0125381	0.0125381	0.0125381	0.0125381	0.00106672	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.0125381	0.00103342	0.0036867	0.0125381	0.0125381	0.0125381	0.0106644	0.0125381	0.0125381	
300	-40872.2	-384.829	6.01837	0.0225781	0.0282636	0.0182312	0.0155881	0.000919815	0.000270218	0.0009417	0.00844265	0.0122338	0.000941644	0.000976929	0.000941447	0.0148505	0.0107497	0.00427524	0.00305196	0.00535177	0.0304567	0.00126388	0.00675103	0.0152242	0.00216162	0.0352289	0.0120745	0.0486177	0.00600505	0.0122797	0.0266662	0.0319893	0.000959956	0.000592254	0.000318149	0.0179353	0.00675147	0.0191559	0.00291387	0.0202943	0.0130366	0.00306734	0.00312254	0.0119381	0.0105508	6.66553e-05	0.00818522	0.00187352	0.00340106	0.00888969	0.0485733	0.00446726	0.000353929	0.00140782	0.0131332	0.00809777	0.00237695	0.0304115	0.00861897	0.00426083	0.00919671	0.00094946	0.000961894	0.00121443	0.00998138	0.0223885	0.0255634	0.027491	0.011994	0.0181496	0.00545751	0.00404368	0.00879761	0.0137449	0.00642984	0.0145759	0.00229719	0.0135697	0.00933746	0.00189016	0.0303427	0.000988469	0.0275956	0.0185721	0.00311811	0.0249435	0.00115339	0.0114614	0.00805716	0.003465	0.00154974	0.0296854	0.00469026	0.0451029	0.0128109	0.0116675	0.0168724	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.016936	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0010324	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.00576354	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.00959491	0.0128109	0.0128109	0.0128109	0.0128109	0.00417531	0.0128109	0.0032	0.0128109	0.0119427	0.0114465	0.0128507	0.00528895	0.0128109	0.0128109	0.0128109	0.0128109	0.00108993	0.00373224	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0128109	0.0010559	0.00376691	0.0128109	0.0128109	0.0103562	0.0108964	0.0128109	0.0128109	
400	-39026.5	-388.702	5.90275	0.0429214	0.0537295	0.0175591	0.0150135	0.00088591	0.000260258	0.000906987	0.00813145	0.0117829	0.000906933	0.0010109	0.00100665	0.00340413	0.0103535	0.00411765	0.00293946	0.00134003	0.0802181	0.00121729	0.00650218	0.014663	0.00329022	0.0339303	0.0116295	0.0468255	0.00102443	0.0118271	0.0256833	0.0308101	0.00092457	0.000570423	0.000306422	0.0172742	0.0065026	0.0184497	0.00280646	0.0195463	0.012556	0.00295427	0.00300744	0.011498	0.0101619	6.41983e-05	0.0078835	0.00180446	0.0023169	0.008562	0.0370089	0.00430259	0.000340882	0.00135592	0.0126491	0.00779928	0.00228933	0.0292905	0.00830126	0.00410377	0.00885771	0.000914462	0.000926437	0.00116966	0.00961345	0.0215632	0.0246211	0.0264776	0.0115519	0.0174806	0.00525634	0.00389463	0.00847331	0.0132383	0.00619283	0.0140386	0.00221251	0.0130695	0.00899327	0.00182048	0.0292243	0.000952032	0.0265784	0.0178875	0.0178078	0.0240241	0.00111087	0.0110389	0.00776016	0.00333727	0.00149262	0.0285912	0.00451737	0.0434403	0.0131931	0.0120156	0.0173757	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0174413	0.0131931	0.0201317	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.00106321	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0047152	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.00593549	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.00988117	0.0131931	0.0131931	0.00306446	0.0131931	0.00507455	0.0131931	0.00329547	0.0131931	0.012299	0.011788	0.0132341	0.00350316	0.0131931	0.0131931	0.0131931	0.0131931	0.00112245	0.00130427	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.0131931	0.00108741	0.00387929	0.0131931	0.0131931	0.00715193	0.0112215	0.0131931	0.00224849	
500	-38620.8	-389.115	5.8991	0.0429214	0.0537295	0.0166573	0.0142425	0.00084041	0.000246891	0.000968879	0.00771382	0.0111777	0.000860354	0.00095898	0.000969348	0.000968771	0.00982171	0.00390617	0.00278849	0.00127121	0.0760982	0.00115477	0.00616823	0.0139099	0.00312124	0.0536682	0.0110322	0.0444206	0.000971817	0.0112196	0.0243642	0.0292278	0.000877085	0.000541126	0.000290684	0.016387	0.00616863	0.0175022	0.00266232	0.0185424	0.0119112	0.00280254	0.00285298	0.0109075	0.00963996	0.000971031	0.00779863	0.00171178	0.00265226	0.00812226	0.0351081	0.00408161	0.000323375	0.00128628	0.0119994	0.00739871	0.00217176	0.0277862	0.00787491	0.0199109	0.00840278	0.000867495	0.000878856	0.00110959	0.00911971	0.0204558	0.0233566	0.0251177	0.0109586	0.0165828	0.00498638	0.0036946	0.00803813	0.0125584	0.00587477	0.0133176	0.00209888	0.0123983	0.00853138	0.00172698	0.0277233	0.000903137	0.0252134	0.0312828	0.0168932	0.0227902	0.00105382	0.010472	0.0073616	0.00316587	0.00141596	0.0271228	0.00428536	0.0412093	0.0136519	0.0124334	0.0179799	0.0277355	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0180478	0.0136519	0.0208317	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.00110017	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.00125273	0.0136519	0.00487916	0.0136519	0.0155435	0.0136519	0.0136519	0.0136519	0.0136519	0.00614187	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.0136519	0.017573	0.0086822	0.0136519	0.00482192	0.00586359	0.0136519	0.0136519	0.00317101	0.0136519	0.005251	0.0136519	0.00341006	0.0136519	0.0127267	0.0121979	0.00225213	0.00362497	0.0136519	0.0136519	0.0136519	0.0136519	0.00116148	0.00134962	0.0136519	0.0136519	0.0136519	0.0136519	0.000985916	0.0136519	0.0136519	0.00112522	0.00401418	0.0136519	0.0136519	0.00740061	0.0116117	0.0136519	0.00232667	
600	-36879	-390.109	5.31982	0.0720609	0.0902066	0.0168806	0.0144334	0.000851676	0.000250201	0.000981868	0.00781723	0.0113275	0.000998948	0.000971835	0.000982343	0.000981758	0.00995337	0.00395853	0.00282587	0.00128825	0.0771183	0.00117025	0.00625092	0.0140964	0.00316308	0.0543877	0.0111801	0.0450161	0.000984844	0.00847224	0.0246908	0.0296196	0.000888843	0.00054838	0.000294581	0.0166066	0.00625132	0.0177368	0.00269801	0.018791	0.0120708	0.00284011	0.00289122	0.0110537	0.00976918	0.001	0.00893927	0.00173473	0.00268782	0.00823115	0.0355787	0.00413633	0.00032771	0.00130353	0.0121603	0.0074979	0.00220087	0.0281587	0.00798048	0.0201778	0.00851543	0.000879125	0.000890637	0.00442933	0.00924196	0.02073	0.00487962	0.0254544	0.0111055	0.0168051	0.00505322	0.00754259	0.00814588	0.0127267	0.00595352	0.0134961	0.00212702	0.0125645	0.00864574	0.00175013	0.028095	0.000915243	0.0255514	0.0317022	0.0171196	0.0230957	0.00106795	0.0106124	0.00746029	0.00320831	0.00143494	0.0274864	0.00434281	0.0417617	0.0137604	0.00960565	0.0373592	0.0279559	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.0181912	0.0137604	0.0209972	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.00110892	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.00126268	0.0137604	0.00491793	0.0137604	0.0156671	0.0137604	0.0137604	0.0137604	0.0137604	0.00619068	0.0137604	0.00810395	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.0137604	0.000995182	0.0137604	0.0177126	0.0087512	0.0137604	0.00486024	0.00591019	0.0137604	0.0137604	0.00319621	0.0137604	0.00529273	0.0137604	0.00343716	0.0137604	0.0128278	0.00950321	0.00227003	0.00365378	0.0137604	0.0137604	0.0137604	0.0137604	0.00117071	0.00136035	0.0137604	0.0137604	0.0137604	0.0137604	0.000993752	0.0137604	0.0137604	0.00113416	0.00100222	0.0137604	0.0137604	0.00745943	0.0117039	0.0137604	0.00234516	
700	-36249.1	-394.782	4.71518	0.120664	0.151049	0.0168991	0.0144492	0.000852611	0.000250475	0.000982945	0.00782581	0.01134	0.00100004	0.000972902	0.000983421	0.000982835	0.0099643	0.00396288	0.00282897	0.00128967	0.077203	0.00117154	0.00217813	0.0141119	0.00316655	0.0544474	0.0111923	0.0450655	0.000985925	0.00848154	0.0247179	0.0296521	0.000889818	0.000548982	0.000294904	0.0166249	0.00625819	0.0177563	0.00270098	0.0188116	0.0120841	0.00284323	0.0028944	0.0110659	0.00977991	0.0010011	0.00894908	0.00173663	0.00269077	0.00824018	0.0356178	0.00414087	0.00032807	0.00130496	0.0121737	0.00750612	0.00220328	0.0281896	0.00798924	0.0202	0.00852477	0.000880089	0.000891615	0.00443419	0.0092521	0.0207527	0.0019786	0.0254824	0.0111177	0.0168235	0.00505877	0.00755087	0.00815482	0.0127407	0.00596006	0.0135109	0.00212935	0.0125783	0.0145437	0.00175206	0.0281258	0.000916248	0.0255794	0.031737	0.0171384	0.0231211	0.00106912	0.010624	0.00746848	0.00321183	0.00143651	0.0275165	0.00434758	0.0418075	0.0141461	0.00987492	0.0384064	0.0287395	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.0187011	0.0141461	0.0215858	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.00114	0.0141461	0.00781222	0.0141461	0.0141461	0.0141461	0.00129808	0.0141461	0.00505579	0.0141461	0.0161062	0.0141461	0.0141461	0.0141461	0.0141461	0.00636422	0.0141461	0.00833112	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.0141461	0.00102308	0.0141461	0.0182091	0.00899651	0.0141461	0.00499648	0.00607586	0.0141461	0.0141461	0.00328581	0.0141461	0.00544109	0.0141461	0.00353351	0.0141461	0.0131874	0.0097696	0.00233366	0.0037562	0.0141461	0.00392182	0.0141461	0.0141461	0.001	0.00139848	0.0141461	0.0141461	0.0141461	0.0030307	0.00102161	0.0141461	0.0141461	0.00101114	0.00103031	0.0141461	0.0141461	0.00766853	0.012032	0.0141461	0.0024109	
800	-35949.4	-391.034	4.34034	0.120664	0.151049	0.0173036	0.0147951	0.000873018	0.00025647	0.00100647	0.00801312	0.0116114	0.00102398	0.00102396	0.00100696	0.00100636	0.0102028	0.00405773	0.00289668	0.00132053	0.0790508	0.00119958	0.00223026	0.0144496	0.00324234	0.0557506	0.0114602	0.0461442	0.00100952	0.00868455	0.0253095	0.0303618	0.000911116	0.00101427	0.000301963	0.00277424	0.00640798	0.0181813	0.00276562	0.0192618	0.00182312	0.00291128	0.00296367	0.00728252	0.010014	0.001	0.00916328	0.0017782	0.00275517	0.00843741	0.0364703	0.00423998	0.000335922	0.00133619	0.012465	0.00768579	0.00225602	0.0288643	0.00818046	0.0206835	0.0131857	0.000901155	0.000912956	0.00454032	0.00947355	0.0212495	0.00202596	0.0260923	0.0113838	0.0172262	0.00517985	0.0077316	0.00835001	0.0130456	0.00610271	0.0138343	0.00218032	0.0128794	0.0148918	0.00179399	0.028799	0.000938179	0.0261916	0.0324966	0.0175486	0.0236745	0.00109471	0.0108783	0.00764724	0.00328871	0.0014709	0.0281751	0.00445164	0.0428082	0.0135818	0.0100823	0.0392131	0.0293432	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.0190939	0.0144432	0.0220392	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.00116395	0.0199883	0.00797631	0.0144432	0.0144432	0.0144432	0.00132534	0.0144432	0.00516199	0.00810519	0.0164445	0.0144432	0.0144432	0.0144432	0.0144432	0.0064979	0.0144432	0.00850611	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.0144432	0.00104457	0.0144432	0.0185916	0.00222668	0.0144432	0.00510143	0.00101582	0.0144432	0.0144432	0.00335483	0.0122667	0.00555538	0.0135021	0.00360773	0.0144432	0.0134644	0.0099748	0.00238268	0.0038351	0.0144432	0.00400419	0.0144432	0.0144432	0.001021	0.00142785	0.0144432	0.0144432	0.0144432	0.00309436	0.00104307	0.0144432	0.0144432	0.00100361	0.00105195	0.0144432	0.0144432	0.0078296	0.0122847	0.0103861	0.00246154	
900	-35681.5	-394.667	4.68124	0.120664	0.151049	0.017058	0.0145851	0.000860628	0.000252831	0.000992188	0.0078994	0.0114466	0.00100945	0.00100943	0.000992668	0.000992077	0.010058	0.00400014	0.00285557	0.000991529	0.0779289	0.00118255	0.00219861	0.0142446	0.00319633	0.0549593	0.0112976	0.0454893	0.000991839	0.00856129	0.0249503	0.0299309	0.000898186	0.000999878	0.000297677	0.00273486	0.00631703	0.0179232	0.00272637	0.0189885	0.00179725	0.00286997	0.00292161	0.00717917	0.0183433	0.000985808	0.00903323	0.00175296	0.00271607	0.00831766	0.0359527	0.00417981	0.000331155	0.00131723	0.0122881	0.00757671	0.002224	0.0284547	0.00806436	0.0203899	0.0129986	0.000888365	0.000899999	0.00447589	0.0093391	0.0209479	0.00199721	0.025722	0.0112222	0.0169817	0.00510634	0.00762188	0.00823151	0.0128605	0.0060161	0.0196724	0.00214938	0.0126966	0.0146805	0.00176853	0.0283903	0.000924864	0.0258199	0.0320354	0.0172996	0.0233385	0.00107917	0.0107239	0.00753871	0.00324204	0.00145002	0.0277753	0.00438846	0.0422007	0.0135806	0.0100814	0.0392095	0.0293405	0.0144419	0.0144419	0.0144419	0.0144419	0.0144419	0.0144419	0.0144419	0.0144419	0.0327298	0.0144419	0.0220372	0.0144419	0.0144419	0.0104367	0.0144419	0.0144419	0.0144419	0.00363428	0.0199864	0.00797557	0.0144419	0.0144419	0.0144419	0.00132522	0.0144419	0.00516151	0.00810444	0.016443	0.0144419	0.0144419	0.0144419	0.0144419	0.00649729	0.0144419	0.00850532	0.0144419	0.00751991	0.0144419	0.0144419	0.0144419	0.0144419	0.000991823	0.0144419	0.0185899	0.00222647	0.0151166	0.00510096	0.00101572	0.0144419	0.0144419	0.00335452	0.0122656	0.00555486	0.0135009	0.00356537	0.0144419	0.0134632	0.00997388	0.00238246	0.00383474	0.0144419	0.00400382	0.0144419	0.0144419	0.00102091	0.00142772	0.0144419	0.0144419	0.0144419	0.00309407	0.00104297	0.0144419	0.0144419	0.00100401	0.00105185	0.0144419	0.0144419	0.00216029	0.0122836	0.0103851	0.00246131	
1000	-35340.2	-393.65	4.55701	0.120664	0.151049	0.0156026	0.0133406	0.000787195	0.000231258	0.000907529	0.0132829	0.0104699	0.000923317	0.0009233	0.000930149	0.000907428	0.0091998	0.00365883	0.00462693	0.000906926	0.0712796	0.00108165	0.00201101	0.0130291	0.0029236	0.0502699	0.0103336	0.0416079	0.00090721	0.0078308	0.0228215	0.027377	0.000821548	0.000914563	0.000272278	0.00250151	0.00577803	0.0163939	0.00249374	0.0173683	0.000999813	0.00262509	0.0166479	0.0065666	0.0451324	0.000901694	0.00826247	0.00160339	0.00248432	0.00760796	0.032885	0.00382316	0.000302899	0.00120483	0.0112396	0.00840637	0.00203424	0.0260268	0.00737627	0.0186502	0.0118895	0.001	0.000823206	0.00409398	0.00854224	0.0191605	0.00182679	0.0235273	0.0102647	0.0155328	0.00467064	0.00697154	0.00752915	0.0117632	0.00550278	0.0179938	0.00196598	0.0116132	0.0134279	0.00223106	0.0315051	0.00084595	0.0513473	0.029302	0.0158235	0.0213471	0.000987091	0.00980889	0.00689546	0.00296541	0.0013263	0.0254053	0.00401401	0.0385999	0.00315018	0.010331	0.0415577	0.0300668	0.0216956	0.0147994	0.0147994	0.0147994	0.0147994	0.0147994	0.0147994	0.0147994	0.03354	0.0147994	0.0225827	0.0147994	0.0147994	0.010695	0.0147994	0.0147994	0.0147994	0.00372425	0.0204812	0.00817301	0.0147994	0.0147994	0.0147994	0.00135803	0.0147994	0.00528928	0.00830507	0.0168501	0.0147994	0.0147994	0.0147994	0.0147994	0.00665814	0.0147994	0.00871587	0.0147994	0.00770607	0.0147994	0.0121672	0.0147994	0.00884055	0.00101638	0.0147994	0.0190501	0.00228159	0.0154909	0.000991726	0.00104087	0.0147994	0.0147994	0.00343756	0.0125692	0.00569238	0.0138351	0.00365363	0.0147994	0.0137965	0.0102208	0.00244144	0.00392967	0.0147994	0.00410294	0.0147994	0.0147994	0.00104618	0.00146306	0.0147994	0.0147994	0.0147994	0.00317067	0.00106879	0.00541887	0.0147994	0.00102886	0.00102207	0.0147994	0.0147994	0.00221377	0.0125877	0.0106422	0.00252224	
